"","time","Cotton","Linen","Manmade","Silk","Total","Wool"
"1",1989,1435545444,163619438,1199929910,79166971,3010237607,131975844
"2",1990,1508727517,151288314,1200409121,70812369,3049180117,117942796
"3",1991,1580062034,155820440,1199129517,78266795,3132196544,118917758
"4",1992,1980945043,166689206,1343348356,108427208,3729492910,130083097
"5",1993,2244206079,164351929,1425436953,168980494,4147246419,144270964
"6",1994,2539924168,163548428,1599975123,171037247,4651588519,177103553
"7",1995,2795603235,130254257,1688249332,134712200,4933030224,184211200
"8",1996,2947247753,109709758,1751192953,131741743,5133117747,193225540
"9",1997,3549469421,112003277,2110651844,142301266,6141468057,227042249
"10",1998,4255178323,125971888,2402466604,144308364,7176005754,248080575
"11",1999,4789067173,116610019,2595293378,151101968,7885574900,233502362
"12",2000,5311405456,135006555,2982807537,173456785,8871844668,269168335
"13",2001,5311586241,139647600,3072548603,170234794,8978517582,284500344
"14",2002,5841612975,149348165,3193532042,167587858,9638963260,286882220
"15",2003,6414377055,228757781,3531694143,193777921,10650220581,281613681
"16",2004,6568728161,318450278,3652144584,243904798,11068555666,285327845
"17",2005,7270409867,281759422,3888279039,213528777,11937403572,283426467
"18",2006,7556239330,252493270,3984463062,190876042,12255743556,271671852
"19",2007,7624452377,200999018,4096190731,170623100,12385627150,293361924
"20",2008,7222882952,177514477,3841946639,143306890,11660994644,275343686
"21",2009,6521598831,117699520,3598662796,102656413,10589439200,248821640
"22",2010,7238281520,118769840,4154799736,110557013,11907670104,285261994
"23",2011,6393827852,123180108,4162994631,109768317,11080375309,290604400
"24",2012,6057182132,109420881,4208851351,101415408,10763925101,287055329
"25",2013,6218737908,99373607,4388137627,100578528,11093186169,286358499
"26",2014,6097912010,100768422,4718788549,105646516,11340617710,317502213
