Time	Cotton	Linen	Manmade	Silk	Wool
1989	1435545444	163619438	1199929910	79166971	131975844
1990	1508727517	151288314	1200409121	70812369	117942796
1991	1580062034	155820440	1199129517	78266795	118917758
1992	1980945043	166689206	1343348356	108427208	130083097
1993	2244206079	164351929	1425436953	168980494	144270964
1994	2539924168	163548428	1599975123	171037247	177103553
1995	2795603235	130254257	1688249332	134712200	184211200
1996	2947247753	109709758	1751192953	131741743	193225540
1997	3549469421	112003277	2110651844	142301266	227042249
1998	4255178323	125971888	2402466604	144308364	248080575
1999	4789067173	116610019	2595293378	151101968	233502362
2000	5311405456	135006555	2982807537	173456785	269168335
2001	5311586241	139647600	3072548603	170234794	284500344
2002	5841612975	149348165	3193532042	167587858	286882220
2003	6414377055	228757781	3531694143	193777921	281613681
2004	6568728161	318450278	3652144584	243904798	285327845
2005	7270409867	281759422	3888279039	213528777	283426467
2006	7556239330	252493270	3984463062	190876042	271671852
2007	7624452377	200999018	4096190731	170623100	293361924
2008	7222882952	177514477	3841946639	143306890	275343686
2009	6521598831	117699520	3598662796	102656413	248821640
2010	7238281520	118769840	4154799736	110557013	285261994
2011	6393827852	123180108	4162994631	109768317	290604400
2012	6057182132	109420881	4208851351	101415408	287055329
2013	6218737908	99373607	4388137627	100578528	286358499
2014	6097912010	100768422	4718788549	105646516	317502213
