Area of Interest,Cropland 1700 (1000 ha),Cropland 1710 (1000 ha),Cropland 1720 (1000 ha),Cropland 1730 (1000 ha),Cropland 1740 (1000 ha),Cropland 1750 (1000 ha),Cropland 1760 (1000 ha),Cropland 1770 (1000 ha),Cropland 1780 (1000 ha),Cropland 1790 (1000 ha),Cropland 1800 (1000 ha),Cropland 1810 (1000 ha),Cropland 1820 (1000 ha),Cropland 1830 (1000 ha),Cropland 1840 (1000 ha),Cropland 1850 (1000 ha),Cropland 1860 (1000 ha),Cropland 1870 (1000 ha),Cropland 1880 (1000 ha),Cropland 1890 (1000 ha),Cropland 1900 (1000 ha),Cropland 1910 (1000 ha),Cropland 1920 (1000 ha),Cropland 1930 (1000 ha),Cropland 1940 (1000 ha),Cropland 1950 (1000 ha),Cropland 1960 (1000 ha),Cropland 1970 (1000 ha),Cropland 1980 (1000 ha),Cropland 1990 (1000 ha),Cropland 1992 (1000 ha),
Africa, Eastern,34854,35542,36225,36913,37602,38291,38982,39667,40355,41043,41727,41935,42138,42376,42655,42941,43289,43735,44211,44789,45428,46294,47532,49103,51030,54193,59104,66176,70455,76009,76358
Africa, Middle,10390,10599,10806,11009,11217,11426,11628,11836,12035,12243,12445,12514,12572,12643,12726,12809,12915,13044,13191,13363,13555,13811,14176,14649,15232,16171,17638,18835,19747,20228,20481
Africa, Northern,8951,9129,9321,9505,9690,9885,10074,10262,10448,10640,10830,10945,11057,11184,11314,11437,11579,12042,12496,12988,13465,14142,14861,16109,17877,19836,22860,24399,25570,27191,27996
Africa, Southern,11923,12164,12394,12632,12865,13105,13331,13569,13813,14036,14281,14345,14423,14497,14594,14694,14811,14960,15119,15320,15537,15834,16270,16801,17461,18542,20227,21027,21130,21315,21310
Africa, Western,13207,13474,13725,13998,14252,14528,14784,15050,15307,15565,15833,15911,15990,16091,16183,16291,16425,16590,16777,17007,17249,17574,18047,18646,19384,20579,22459,23573,25186,27148,27545
America, Central,3764,4155,4562,4959,5344,5756,6152,6563,6947,7349,7748,8236,8734,9215,9706,10194,10878,11555,12923,14965,17011,18715,17000,22316,24913,31712,36671,35694,38112,39013,39131
America, North,3021,6832,10643,14448,18256,22066,25878,29679,33488,37302,41108,44912,48727,52534,56343,60150,85567,96549,139143,172276,194215,227117,246725,268996,265953,279235,270036,278363,281020,273357,272824
America, South,3200,3593,3938,4870,5207,5676,5998,6349,6677,7018,7356,7805,8225,8659,9072,9498,9937,10896,11855,15557,18531,34654,45286,73466,87486,78832,97787,109109,141296,138806,136076
Antarctica,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,
Asia, Eastern,69705,75041,81707,88364,95020,101668,108331,114985,121641,128305,134966,141622,148267,154924,161590,168248,174899,181561,188072,194262,200455,206651,214565,223254,233945,244382,237172,231252,231401,223257,223378
Asia, South-central,105120,108584,112056,115533,119006,122495,125973,129448,132925,136404,139876,144803,149929,155041,160688,166349,177832,189657,202355,207976,213645,219489,226440,238997,252148,262094,285547,293911,298106,302610,302547
Asia, South-eastern,13738,14083,14415,14749,15102,15435,15784,16122,16460,16806,17149,17708,18295,18876,19567,20240,21651,23068,24613,31246,37906,44529,51164,56179,61174,66179,84205,90762,97281,113362,116288
Asia, Western,9974,10259,10594,10929,11253,11580,11904,12233,12568,12893,13220,13549,13880,14216,14534,14868,15277,16443,17605,18762,19929,21430,23091,25906,29868,33304,40608,43301,44566,44777,43954
Australia and New Zealand,2686,2718,2753,2789,2822,2853,2885,2921,2953,2986,3020,3052,3086,3119,3153,3184,3219,3352,4756,5916,7101,8254,9506,10611,10874,13359,22109,33503,35301,37256,36890,
Caribbean,424,473,517,562,609,655,700,747,792,841,886,946,1000,1056,1114,1170,1249,1327,1486,1726,1963,2161,1966,2583,2813,3468,3969,5746,7098,7182,7196,
Europe, Eastern,65627,72578,79538,86487,93447,100399,107343,114301,121252,128203,135149,142109,149065,156016,162964,169916,180697,191506,201177,210852,220535,230221,245991,263302,280603,275279,354422,346087,343471,337861,337965
Europe, Northern,11194,12061,12922,13785,14646,15506,16370,17235,18100,18962,19821,20679,21542,22411,23275,24137,25081,26015,26457,26902,27338,27778,28344,28939,29529,29661,31529,30160,28902,28422,28278
Europe, Southern,21952,23546,25151,26754,28364,29968,31572,33176,34778,36376,37976,39575,41182,42784,44384,45989,47589,49190,49718,50252,50783,51321,51851,52386,52917,53440,53979,53530,51421,50584,49107
Europe, Western,17360,18625,19891,21165,22447,23715,24977,26249,27521,28783,30047,31316,32582,33854,35118,36390,37658,38920,39343,39763,40183,40606,41031,41448,41870,42295,42710,39433,38688,38936,38323
Melanesia,64,66,66,68,68,70,70,72,72,75,75,76,76,77,77,77,77,81,115,143,177,210,240,273,305,337,517,608,643,694,730,
Micronesia,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,
Polynesia,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,
