,,1700,1710,1720,1730,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,1992
Africa, Eastern,118681,118615,118545,118475,118405,118338,118268,118195,118126,118058,117991,117968,117948,117922,117897,117870,117830,117788,117741,117683,117616,117528,117407,117246,117052,116734,116237,115663,115251,114969,114958
Africa, Middle,11660,11660,11660,11659,11657,11657,11657,11654,11654,11653,11651,11651,11651,11651,11651,11651,11650,11650,11648,11648,11648,11648,11644,11644,11641,11638,11632,11625,11625,11626,11623
Africa, Northern,44203,44158,44105,44060,44006,43953,43900,43849,43796,43745,43693,43638,43588,43538,43488,43435,43379,43151,42916,42681,42449,42127,41806,41198,40325,39438,38080,37843,37172,36498,36111
Africa, Southern,77756,77723,77691,77658,77628,77596,77566,77533,77500,77467,77439,77428,77419,77410,77397,77383,77368,77347,77324,77298,77270,77229,77172,77099,77012,76868,76641,76553,76531,76527,76529
Africa, Western,34206,34197,34190,34185,34176,34169,34162,34155,34147,34141,34132,34129,34129,34125,34121,34120,34117,34110,34106,34100,34094,34084,34072,34057,34037,34004,33954,33917,33928,33914,33903
America, Central,74626,74566,74510,74450,74389,74331,74272,74212,74150,74088,74032,73957,73883,73811,73738,73662,73579,73479,73305,73016,72705,72466,72721,71956,71249,69817,68777,68903,68527,68470,68468
America, North,154656,154653,154652,154652,154649,154647,154646,154645,154643,154641,154641,154640,154639,154636,154635,154633,154433,154187,153744,153181,152730,151868,151002,151124,151128,150270,150057,150077,149953,149930,149997
America, South,180402,180333,180286,180228,180174,180123,180072,180012,179953,179902,179842,179775,179704,179640,179566,179498,179435,179264,179115,178625,178126,175772,174101,169917,168016,169131,166751,165012,161732,160998,161230
Antarctica,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,
Asia, Eastern,135945,135788,135589,135393,135193,134994,134797,134595,134396,134199,133999,133802,133605,133405,133210,133009,132821,132625,132447,132300,132149,131996,131791,131532,131213,130896,131285,131432,129918,130126,130025
Asia, South-central,296848,296111,295356,294601,293861,293096,292343,291587,290843,290092,289334,288298,287239,286163,284979,283812,281464,279004,276366,274552,272695,270740,268595,265940,263054,260864,254437,251376,249520,248757,248629
Asia, South-eastern,268,267,266,266,265,264,263,263,262,261,261,260,259,258,257,256,254,252,250,242,234,226,218,223,227,231,222,220,214,219,216
Asia, Western,134094,134004,133910,133810,133704,133604,133507,133405,133300,133209,133105,133002,132902,132803,132705,132604,132483,132089,131703,131322,130931,130411,129869,128910,127549,126301,123909,123245,122838,122455,122786
Australia and New Zealand,444579,444568,444554,444543,444530,444517,444503,444491,444478,444464,444451,444438,444426,444412,444400,444387,444375,444214,443473,443090,442950,442499,441913,441122,441061,440149,436241,430762,429344,428309,428468,
Caribbean,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,
Europe, Eastern,4542,4494,4444,4396,4347,4298,4249,4200,4150,4102,4054,4004,3955,3906,3856,3807,3726,3647,3570,3495,3419,3342,3218,3079,2942,2987,2349,2392,2413,2450,2449
Europe, Northern,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
Europe, Southern,34694,34138,33587,33035,32507,31953,31403,30850,30299,29748,29194,28640,28091,27538,26985,26433,25881,25326,25149,24967,24784,24600,24421,24240,24062,23878,23703,23688,23790,24054,24426
Europe, Western,957,942,931,917,905,891,878,865,851,839,825,812,799,786,773,759,746,733,729,724,720,715,712,706,702,698,695,746,748,742,740
Melanesia,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,
Micronesia,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,
Polynesia,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,
